"formula","HC","OC"
"C20H22O6S2",1.1,0.3
"C21H26O1S4",1.24,0.05
"C25H14O5N2",0.56,0.2
"C23H18O8",0.78,0.35
"C20H25O3N1S2P1",1.25,0.15
"C20H24O6P2",1.2,0.3
"C16H22O13",1.38,0.81
"C17H28O6S1P2",1.65,0.35
"C24H22O5S1",0.92,0.21
"C12H26O12N2S1",2.17,1
"C20H22O10",1.1,0.5
"C21H26O5S2",1.24,0.24
"C17H28O8P2",1.65,0.47
"C21H26O7S1",1.24,0.33
"C22H30O2S3",1.36,0.09
"C30H18O1N2",0.6,0.03
"C25H26O4S1",1.04,0.16
"C21H26O9",1.24,0.43
"C22H30O4S2",1.36,0.18
"C27H22O3N2",0.81,0.11
"C23H25O3N3P1",1.09,0.13
"C22H30O6S1",1.36,0.27
"C17H30O10N2",1.76,0.59
"C23H34O3S2",1.48,0.13
"C23H34O5S1",1.48,0.22
"C24H38O2S2",1.58,0.08
"C20H38O7S1",1.9,0.35
"C21H42O2S3",2,0.1
"C29H30O1N2",1.03,0.03
"C29H30O1N2",1.03,0.03
"C11H4O12S2P1",0.36,1.09
"C13H13O3N1S6",1,0.23
"C12H8O11S2P1",0.67,0.92
"C13H12O10S2P1",0.92,0.77
"C19H9O1N3S4",0.47,0.05
"C21H12O6S1P1",0.57,0.29
"C14H17O8N1S3",1.21,0.57
"C26H16O4P1",0.62,0.15
"C18H17O11N1",0.94,0.61
"C23H20O6P1",0.87,0.26
"C21H28O3S2P1",1.33,0.14
"C17H32O4N2S2P1",1.88,0.24
"C16H29O8N3S1",1.81,0.5
"C20H29O5N3S1",1.45,0.25
"C28H25O3N1",0.89,0.11
"C18H36O3N2S2P1",2,0.17
"C21H33O4N3S1",1.57,0.19
"C29H29O2N1",1,0.07
"C25H49O2N3",1.96,0.08
"C10H4O5N2S6",0.4,0.5
"C14H4O6N2S4",0.29,0.43
"C12H8O9S4",0.67,0.75
"C12H8O11S3",0.67,0.92
"C13H12O6S5",0.92,0.46
"C12H10O9S2P2",0.83,0.75
"C10H16O6S6",1.6,0.6
"C14H3O13N1P1",0.21,0.93
"C19H4O8S2",0.21,0.42
"C19H4O8S2",0.21,0.42
"C17H12O13",0.71,0.76
"C14H19O8N1S2P1",1.36,0.57
"C18H18O6S1P2",1,0.33
"C22H16O5S2",0.73,0.23
"C13H16O14N2",1.23,1.08
"C23H20O2S3",0.87,0.09
"C18H16O12",0.89,0.67
"C19H20O7S2",1.05,0.37
"C20H24O2S4",1.2,0.1
"C15H20O12S1",1.33,0.8
"C15H22O10P2",1.47,0.67
"C22H16O9",0.73,0.41
"C15H20O14",1.33,0.93
"C16H24O9S2",1.5,0.56
"C16H26O7S1P2",1.62,0.44
"C23H20O6S1",0.87,0.26
"C24H24O1S3",1,0.04
"C11H24O13N2S1",2.18,1.18
"C19H20O11",1.05,0.58
"C20H24O6S2",1.2,0.3
"C21H28O1S4",1.33,0.05
"C18H20O10N2",1.11,0.56
"C24H24O3S2",1,0.12
"C20H24O8S1",1.2,0.4
"C20H26O6P2",1.3,0.3
"C29H16O2N2",0.55,0.07
"C16H24O13",1.5,0.81
"C17H28O8S2",1.65,0.47
"C17H30O6S1P2",1.76,0.35
"C20H27O5N1S1P1",1.35,0.25
"C20H24O10",1.2,0.5
"C21H28O5S2",1.33,0.24
"C17H30O8P2",1.76,0.47
"C28H24O2S1",0.86,0.07
"C21H28O7S1",1.33,0.33
"C22H32O2S3",1.45,0.09
"C19H36O2S4",1.89,0.11
"C27H24O1N2S1",0.89,0.04
"C21H28O9",1.33,0.43
"C22H32O4S2",1.45,0.18
"C25H28O6",1.12,0.24
"C22H32O6S1",1.45,0.27
"C23H36O1S3",1.57,0.04
"C19H36O6S2",1.89,0.32
"C20H40O1S4",2,0.05
"C22H32O8",1.45,0.36
"C23H36O3S2",1.57,0.13
"C23H36O5S1",1.57,0.22
"C24H40O2S2",1.67,0.08
"C20H43O6N1P1",2.15,0.3
"C11H7O3N1S7",0.64,0.27
"C9H15O6N1S6",1.67,0.67
"C9H15O6N1S6",1.67,0.67
"C10H19O1N1S8",1.9,0.1
"C14H5O11N1P2",0.36,0.79
"C15H27O7N3S2",1.8,0.47
"C23H23O5N1S1",1,0.22
"C27H22O3P1",0.81,0.11
"C19H27O6N3S1",1.42,0.32
"C27H23O4N1",0.85,0.15
"C15H27O11N3",1.8,0.73
"C21H31O4N1S2",1.48,0.19
"C18H34O7S1P1",1.89,0.39
"C20H31O5N3S1",1.55,0.25
"C22H35O3N1S2",1.59,0.14
"C9H2O8N2S5",0.22,0.89
"C10H6O3N2S7",0.6,0.3
"C15H6O3S6",0.4,0.2
"C11H6O12S3",0.55,1.09
"C11H8O10S2P2",0.73,0.91
"C13H14O2S7",1.08,0.15
"C19H6O6S3",0.32,0.32
"C18H4O9P2",0.22,0.5
"C20H10O1S5",0.5,0.05
"C15H6O11S2",0.4,0.73
"C20H12O7P2",0.6,0.35
"C13H14O14S1",1.08,1.08
"C20H14O5N2S2",0.7,0.25
"C17H14O13",0.82,0.76
"C18H18O8S2",1,0.44
"C19H22O3S4",1.16,0.16
"C22H18O5S2",0.82,0.23
"C14H18O15",1.29,1.07
"C23H22O2S3",0.96,0.09
"C18H18O12",1,0.67
"C19H22O7S2",1.16,0.37
"C20H26O2S4",1.3,0.1
"C15H22O12S1",1.47,0.8
"C25H17O4N1P1",0.68,0.16
"C23H22O4S2",0.96,0.17
"C19H22O9S1",1.16,0.47
"C19H24O7P2",1.26,0.37
"C28H14O3N2",0.5,0.11
"C15H22O14",1.47,0.93
"C23H22O6S1",0.96,0.26
"C19H22O11",1.16,0.58
"C19H22O11",1.16,0.58
"C20H26O6S2",1.3,0.3
"C21H30O1S4",1.43,0.05
"C18H22O10N2",1.22,0.56
"C27H22O3S1",0.81,0.11
"C20H26O8S1",1.3,0.4
"C20H28O6P2",1.4,0.3
"C29H18O2N2",0.62,0.07
"C24H26O5S1",1.08,0.21
"C20H26O10",1.3,0.5
"C21H30O5S2",1.43,0.24
"C21H30O7S1",1.43,0.33
"C22H34O2S3",1.55,0.09
"C25H30O4S1",1.2,0.16
"C21H30O9",1.43,0.43
"C21H30O9",1.43,0.43
"C22H34O4S2",1.55,0.18
"C18H36O7P2",2,0.39
"C22H34O6S1",1.55,0.27
"C26H34O3S1",1.31,0.12
"C22H34O8",1.55,0.36
"C22H34O8",1.55,0.36
"C23H38O3S2",1.65,0.13
"C23H38O5S1",1.65,0.22
"C19H38O10",2,0.53
"C24H42O2S2",1.75,0.08
"C29H34O1N2",1.17,0.03
"C25H46O1S2",1.84,0.04
"C10H5O6N1S6",0.5,0.6
"C8H13O7N1S6",1.62,0.88
"C12H13O4N1S6",1.08,0.33
"C11H8O12S2P1",0.73,1.09
"C9H17O4N1S7",1.89,0.44
"C17H4O6N2S2P1",0.24,0.35
"C12H13O8N1S4",1.08,0.67
"C15H8O11S1P1",0.53,0.73
"C23H9O8N1",0.39,0.35
"C20H17O6N3S1",0.85,0.3
"C13H21O11N3S1",1.62,0.85
"C14H25O8N3S2",1.79,0.57
"C22H21O6N1S1",0.95,0.27
"C23H24O6P1",1.04,0.26
"C28H17O2N3",0.61,0.07
"C27H24O3P1",0.89,0.11
"C25H21O4N3",0.84,0.16
"C17H32O8S1P1",1.88,0.47
"C19H29O6N3S1",1.53,0.32
"C27H25O4N1",0.93,0.15
"C21H33O4N1S2",1.57,0.19
"C20H33O5N3S1",1.65,0.25
"C28H29O3N1",1.04,0.11
"C22H36O6P1",1.64,0.27
"C9H4O6N2S6",0.44,0.67
"C9H4O6N2S6",0.44,0.67
"C10H8O1N2S8",0.8,0.1
"C18H4O3S5",0.22,0.17
"C14H4O8S4",0.29,0.57
"C15H8O3S6",0.53,0.2
"C8H12O8S6",1.5,1
"C12H12O7S5",1,0.58
"C11H10O10S2P2",0.91,0.91
"C9H16O7S6",1.78,0.78
"C18H4O9S2",0.22,0.5
"C14H7O9N1S2P1",0.5,0.64
"C18H6O7S1P2",0.33,0.39
"C14H4O14S1",0.29,1
"C14H6O12P2",0.43,0.86
"C12H12O11S3",1,0.92
"C13H16O6S5",1.23,0.46
"C26H8O1N2S2",0.31,0.04
"C27H8O4S1",0.3,0.15
"C13H19O9N1S2P1",1.46,0.69
"C21H16O6S2",0.76,0.29
"C22H20O1S4",0.91,0.05
"C17H16O13",0.94,0.76
"C18H20O8S2",1.11,0.44
"C18H22O6S1P2",1.22,0.33
"C22H20O5S2",0.91,0.23
"C14H20O15",1.43,1.07
"C18H23O7N1S1P1",1.28,0.39
"C18H20O12",1.11,0.67
"C14H23O12N1P1",1.64,0.86
"C15H27O7N1S2P1",1.8,0.47
"C20H28O2S4",1.4,0.1
"C23H24O4S2",1.04,0.17
"C19H26O7P2",1.37,0.37
"C28H16O3N2",0.57,0.11
"C21H20O8N2",0.95,0.38
"C22H24O3N2S2",1.09,0.14
"C30H20O1S1",0.67,0.03
"C23H24O6S1",1.04,0.26
"C19H24O11",1.26,0.58
"C19H24O11",1.26,0.58
"C16H31O6N1S2P1",1.94,0.38
"C21H32O1S4",1.52,0.05
"C20H28O8S1",1.4,0.4
"C20H30O6P2",1.5,0.3
"C29H20O2N2",0.69,0.07
"C19H28O7N2S1",1.47,0.37
"C27H24O5",0.89,0.19
"C24H28O5S1",1.17,0.21
"C20H28O10",1.4,0.5
"C21H32O5S2",1.52,0.24
"C21H32O7S1",1.52,0.33
"C17H32O12",1.88,0.71
"C25H32O4S1",1.28,0.16
"C21H32O9",1.52,0.43
"C17H35O9N1P1",2.06,0.53
"C18H39O4N1S2P1",2.17,0.22
"C23H40O1S3",1.74,0.04
"C26H36O3S1",1.38,0.12
"C22H39O3N1S1P1",1.77,0.14
"C22H36O8",1.64,0.36
"C23H40O3S2",1.74,0.13
"C24H44O2S2",1.83,0.08
"C25H48O1S2",1.92,0.04
"C11H11O7N1S5",1,0.64
"C14H6O10S2P1",0.43,0.71
"C12H15O2N1S7",1.25,0.17
"C8H15O7N1S6",1.88,0.88
"C12H3O11N3S2",0.25,0.92
"C14H6O14P1",0.43,1
"C15H10O9S2P1",0.67,0.6
"C19H10O10P1",0.53,0.53
"C20H14O7S1P1",0.7,0.35
"C12H15O14N1S1",1.25,1.17
"C15H26O10S1P1",1.73,0.67
"C25H19O6N1",0.76,0.24
"C16H30O9S1P1",1.88,0.56
"C27H26O3P1",0.96,0.11
"C19H27O10N1",1.42,0.53
"C21H34O5S1P1",1.62,0.24
"C21H35O4N1S2",1.67,0.19
"C22H39O3N1S2",1.77,0.14
"C23H43O2N1S2",1.87,0.09
"C23H43O2N1S2",1.87,0.09
"C8H2O7N2S6",0.25,0.88
"C8H2O9N2S5",0.25,1.12
"C8H2O9N2S5",0.25,1.12
"C9H6O4N2S7",0.67,0.44
"C14H6O6S5",0.43,0.43
"C13H5O12N1S1P1",0.38,0.92
"C17H9O5N3S2P1",0.53,0.29
"C16H17O7N1S2P1",1.06,0.44
"C23H10O9",0.43,0.39
"C24H14O4S2",0.58,0.17
"C12H17O14N1P1",1.42,1.17
"C13H21O9N1S2P1",1.62,0.69
"C17H20O7S1P2",1.18,0.41
"C13H20O12P2",1.54,0.92
"C25H18O1S3",0.72,0.04
"C20H14O11",0.7,0.55
"C21H18O6S2",0.86,0.29
"C22H22O1S4",1,0.05
"C26H10O5N2",0.38,0.19
"C22H13O5N3P1",0.59,0.23
"C21H20O6P2",0.95,0.29
"C17H18O13",1.06,0.76
"C18H22O8S2",1.22,0.44
"C18H24O6S1P2",1.33,0.33
"C21H18O10",0.86,0.48
"C18H25O5N1S2P1",1.39,0.28
"C18H22O12",1.22,0.67
"C18H22O12",1.22,0.67
"C19H26O7S2",1.37,0.37
"C20H30O2S4",1.5,0.1
"C21H22O6N2S1",1.05,0.29
"C14H26O11N2S1",1.86,0.79
"C19H29O4N1S2P1",1.53,0.21
"C19H28O7P2",1.47,0.37
"C26H22O6",0.85,0.23
"C23H26O6S1",1.13,0.26
"C19H26O11",1.37,0.58
"C19H26O11",1.37,0.58
"C20H30O6S2",1.5,0.3
"C21H34O1S4",1.62,0.05
"C14H29O10N3P1",2.07,0.71
"C19H30O5N2S2",1.58,0.26
"C27H26O3S1",0.96,0.11
"C23H26O8",1.13,0.35
"C19H29O8N1P1",1.53,0.42
"C24H30O3S2",1.25,0.12
"C20H32O6P2",1.6,0.3
"C29H22O2N2",0.76,0.07
"C19H30O7N2S1",1.58,0.37
"C27H26O5",0.96,0.19
"C24H30O5S1",1.25,0.21
"C20H30O10",1.5,0.5
"C21H34O5S2",1.62,0.24
"C22H38O2S3",1.73,0.09
"C25H34O4S1",1.36,0.16
"C21H34O9",1.62,0.43
"C22H38O4S2",1.73,0.18
"C26H38O3S1",1.46,0.12
"C22H38O8",1.73,0.36
"C22H38O8",1.73,0.36
"C23H42O5S1",1.83,0.22
"C24H46O2S2",1.92,0.08
"C8H5O8N3S5",0.62,1
"C9H9O3N3S7",1,0.33
"C13H4O11S2P1",0.31,0.85
"C22H8O4S2P1",0.36,0.18
"C18H9O10N1S1",0.5,0.56
"C22H8O8P1",0.36,0.36
"C23H12O3S2P1",0.52,0.13
"C14H9O15N1",0.64,1.07
"C14H9O15N1",0.64,1.07
"C15H13O10N1S2",0.87,0.67
"C19H12O8S1P1",0.63,0.42
"C15H13O12N1S1",0.87,0.8
"C15H13O12N1S1",0.87,0.8
"C19H12O10P1",0.63,0.53
"C20H16O5S2P1",0.8,0.25
"C16H17O9N1S2",1.06,0.56
"C21H20O4S2P1",0.95,0.19
"C25H9O5N3",0.36,0.2
"C20H17O8N1S1",0.85,0.4
"C14H25O10N1S2",1.79,0.71
"C14H24O13P1",1.71,0.93
"C25H21O6N1",0.84,0.24
"C27H28O3P1",1.04,0.11
"C19H29O10N1",1.53,0.53
"C17H36O8S1P1",2.12,0.47
"C19H33O6N3S1",1.74,0.32
"C21H37O4N1S2",1.76,0.19
"C20H37O3N3S2",1.85,0.15
"C28H33O1N1S1",1.18,0.04
"C25H7O3N1S1P1",0.28,0.12
"C30H8O2S1",0.27,0.07
"C14H12O14N2",0.86,1
"C20H16O7S2",0.8,0.35
"C26H12O1N2S2",0.46,0.04
"C13H20O12S2",1.54,0.92
"C14H24O7S4",1.71,0.5
"C22H12O6N2S1",0.55,0.27
"C30H8O4",0.27,0.13
"C20H18O7P2",0.9,0.35
"C29H8O3N2",0.28,0.1
"C16H16O14",1,0.88
"C13H23O9N1S2P1",1.77,0.69
"C21H20O6S2",0.95,0.29
"C21H20O8S1",0.95,0.38
"C18H24O8S2",1.33,0.44
"C18H26O6S1P2",1.44,0.33
"C21H20O10",0.95,0.48
"C22H24O5S2",1.09,0.23
"C16H23O9N3P1",1.44,0.56
"C21H24O4N2S2",1.14,0.19
"C29H20O2S1",0.69,0.07
"C25H20O7",0.8,0.28
"C23H28O2S3",1.22,0.09
"C31H16O1N2",0.52,0.03
"C19H28O7S2",1.47,0.37
"C22H24O9",1.09,0.41
"C23H28O4S2",1.22,0.17
"C27H28O1S2",1.04,0.04
"C23H28O6S1",1.22,0.26
"C15H31O11N1P1",2.07,0.73
"C16H35O6N1S2P1",2.19,0.38
"C24H32O3S2",1.33,0.12
"C20H34O6P2",1.7,0.3
"C19H32O7N2S1",1.68,0.37
"C27H28O5",1.04,0.19
"C24H32O5S1",1.33,0.21
"C25H36O2S2",1.44,0.08
"C20H36O6N2S1",1.8,0.3
"C25H36O4S1",1.44,0.16
"C21H36O9",1.71,0.43
"C21H36O9",1.71,0.43
"C22H40O4S2",1.82,0.18
"C23H44O3S2",1.91,0.13
"C11H15O1N1S8",1.36,0.09
"C11H15O1N1S8",1.36,0.09
"C21H6O7S1P1",0.29,0.33
"C15H14O11S1P1",0.93,0.73
"C22H10O8P1",0.45,0.36
"C22H10O8P1",0.45,0.36
"C13H22O10S2P1",1.69,0.77
"C18H15O6N3S2",0.83,0.33
"C26H11O4N1S1",0.42,0.15
"C22H14O4N2S1P1",0.64,0.18
"C14H26O9S2P1",1.86,0.64
"C16H23O9N3S1",1.44,0.56
"C15H30O12P1",2,0.8
"C16H34O9S1P1",2.12,0.56
"C21H39O4N1S2",1.86,0.19
"C10H10O11S4",1,1.1
"C12H18O1S8",1.5,0.08
"C20H4O6S1P2",0.2,0.3
"C9H10O10N2S4",1.11,1.11
"C21H6O9S1",0.29,0.43
"C25H9O3N1S1P1",0.36,0.12
"C15H14O15",0.93,1
"C26H10O7",0.38,0.27
"C19H14O12",0.74,0.63
"C16H21O7N1S2P1",1.31,0.44
"C21H22O2S4",1.05,0.1
"C20H20O7P2",1,0.35
"C13H25O9N1S2P1",1.92,0.69
"C17H24O7S1P2",1.41,0.41
"C20H18O11",0.9,0.55
"C21H22O6S2",1.05,0.29
"C22H26O1S4",1.18,0.05
"C16H22O10N2S1",1.38,0.62
"C20H21O8N1P1",1.05,0.4
"C21H24O6P2",1.14,0.29
"C21H22O10",1.05,0.48
"C21H22O10",1.05,0.48
"C18H29O5N1S2P1",1.61,0.28
"C25H22O7",0.88,0.28
"C26H26O2S2",1,0.08
"C26H26O2S2",1,0.08
"C23H30O2S3",1.3,0.09
"C31H18O1N2",0.58,0.03
"C18H26O12",1.44,0.67
"C14H30O11N2S1",2.14,0.79
"C19H33O4N1S2P1",1.74,0.21
"C23H30O6S1",1.3,0.26
"C19H30O11",1.58,0.58
"C24H34O3S2",1.42,0.12
"C20H37O3N1S2P1",1.85,0.15
"C22H30O7N2",1.36,0.32
"C18H33O7N3P1",1.83,0.39
"C19H34O7N2S1",1.79,0.37
"C24H34O5S1",1.42,0.21
"C20H34O10",1.7,0.5
"C20H38O6N2S1",1.9,0.3
"C10H13O6N1S6",1.3,0.6
"C11H17O1N1S8",1.55,0.09
"C18H12O9S1P1",0.67,0.5
"C18H29O7N1S2",1.61,0.39
"C22H28O7P1",1.27,0.32
"C22H28O7P1",1.27,0.32
"C27H21O3N3",0.78,0.11
"C15H32O12P1",2.13,0.8
"C19H37O4N3S2",1.95,0.21
"C24H41O2N3S1",1.71,0.08
"C12H4O2S8",0.33,0.17
"C11H4O1N2S8",0.36,0.09
"C20H6O6S1P2",0.3,0.3
"C16H4O13S1",0.25,0.81
"C19H7O8N3P1",0.37,0.42
"C15H19O8N1S2P1",1.27,0.53
"C33H8O2",0.24,0.06
"C33H8O2",0.24,0.06
"C12H22O13P2",1.83,1.08
"C19H16O12",0.84,0.63
"C16H23O7N1S2P1",1.44,0.44
"C21H24O2S4",1.14,0.1
"C20H22O7P2",1.1,0.35
"C16H20O14",1.25,0.88
"C16H20O14",1.25,0.88
"C13H27O9N1S2P1",2.08,0.69
"C34H12O1",0.35,0.03
"C20H20O11",1,0.55
"C21H24O6S2",1.14,0.29
"C22H28O1S4",1.27,0.05
"C21H26O6P2",1.24,0.29
"C30H16O2N2",0.53,0.07
"C16H24O12N2",1.5,0.75
"C16H24O12N2",1.5,0.75
"C21H24O10",1.14,0.48
"C22H28O5S2",1.27,0.23
"C22H28O7S1",1.27,0.32
"C18H28O12",1.56,0.67
"C26H28O4S1",1.08,0.15
"C22H28O9",1.27,0.41
"C22H28O9",1.27,0.41
"C23H32O4S2",1.39,0.17
"C18H32O8N2S1",1.78,0.44
"C23H32O6S1",1.39,0.26
"C19H32O11",1.68,0.58
"C19H32O11",1.68,0.58
"C18H32O10N2",1.78,0.56
"C24H36O3S2",1.5,0.12
"C20H38O6P2",1.9,0.3
"C24H36O5S1",1.5,0.21
"C20H36O10",1.8,0.5
"C23H36O4N2S1",1.57,0.17
"C31H32O2",1.03,0.06
"C19H36O9N2",1.89,0.47
"C25H40O2S2",1.6,0.08
"C13H11O4N1S6",0.85,0.31
"C12H6O12S2P1",0.5,1
"C10H15O4N1S7",1.5,0.4
"C17H10O12P1",0.59,0.71
"C18H14O7S2P1",0.78,0.39
"C14H17O7N1S2P2",1.21,0.5
"C23H7O3N3S2",0.3,0.13
"C20H27O4N3S2",1.35,0.2
"C24H43O2N3S1",1.79,0.08
"C13H10O5S6",0.77,0.38
"C13H10O7S5",0.77,0.54
"C12H8O10S2P2",0.67,0.83
"C15H5O13N1P1",0.33,0.87
"C20H6O8S2",0.3,0.4
"C19H6O11N2",0.32,0.58
"C15H9O11N3P1",0.6,0.73
"C18H14O13",0.78,0.72
"C19H18O8S2",0.95,0.42
"C15H21O8N1S2P1",1.4,0.53
"C19H20O6S1P2",1.05,0.32
"C25H14O2N2S2",0.56,0.08
"C12H22O13S2",1.83,1.08
"C23H18O5S2",0.78,0.22
"C19H21O5N1S2P1",1.11,0.26
"C19H18O12",0.95,0.63
"C20H22O7S2",1.1,0.35
"C21H26O2S4",1.24,0.1
"C12H25O12N1S1P1",2.08,1
"C20H24O7P2",1.2,0.35
"C29H14O3N2",0.48,0.1
"C16H22O14",1.38,0.88
"C12H26O13N2S1",2.17,1.08
"C20H22O11",1.1,0.55
"C20H22O11",1.1,0.55
"C21H26O6S2",1.24,0.29
"C22H30O1S4",1.36,0.05
"C21H28O6P2",1.33,0.29
"C30H18O2N2",0.6,0.07
"C25H26O5S1",1.04,0.2
"C21H29O5N1S1P1",1.38,0.24
"C21H26O10",1.24,0.48
"C18H33O5N1S2P1",1.83,0.28
"C22H30O7S1",1.36,0.32
"C18H30O12",1.67,0.67
"C22H30O9",1.36,0.41
"C23H34O6S1",1.48,0.26
"C19H34O11",1.79,0.58
"C24H38O3S2",1.58,0.12
"C20H40O6P2",2,0.3
"C22H34O7N2",1.55,0.32
"C22H34O7N2",1.55,0.32
"C24H38O5S1",1.58,0.21
"C25H42O2S2",1.68,0.08
"C20H42O6N2S1",2.1,0.3
"C9H13O7N1S6",1.44,0.78
"C19H5O4N1S4",0.26,0.21
"C10H17O6N1S6",1.7,0.6
"C18H5O5N3S3",0.28,0.28
"C18H4O10N2P1",0.22,0.56
"C19H8O5N2S2P1",0.42,0.26
"C11H9O12N3S2",0.82,1.09
"C16H8O13P1",0.5,0.81
"C24H9O4N1S2",0.38,0.17
"C28H13O1N3S1",0.46,0.04
"C20H24O7S1P1",1.2,0.35
"C16H27O7N1S1P2",1.69,0.44
"C25H17O3N3S1",0.68,0.12
"C28H25O4N1",0.89,0.14
"C24H28O4N2P1",1.17,0.17
"C22H37O4N3S1",1.68,0.18
"C30H33O2N1",1.1,0.07
"C18H37O9N3",2.06,0.5
"C11H4O3S8",0.36,0.27
"C11H6O11S2P2",0.55,1
"C13H12O3S7",0.92,0.23
"C12H10O10S2P2",0.83,0.83
"C14H4O13N2S1",0.29,0.93
"C19H6O9P2",0.32,0.47
"C15H4O16",0.27,1.07
"C16H8O11S2",0.5,0.69
"C12H10O14P2",0.83,1.17
"C13H14O9S2P2",1.08,0.69
"C11H20O10S4",1.82,0.91
"C28H8O6",0.29,0.21
"C29H12O1S2",0.41,0.03
"C18H19O8N1S1P1",1.06,0.44
"C18H16O13",0.89,0.72
"C15H23O8N1S2P1",1.53,0.53
"C19H22O6S1P2",1.16,0.32
"C28H12O4N2",0.43,0.14
"C33H12O2",0.36,0.06
"C24H24O2S3",1,0.08
"C19H20O12",1.05,0.63
"C16H27O7N1S2P1",1.69,0.44
"C24H24O4S2",1,0.17
"C20H24O9S1",1.2,0.45
"C20H26O7P2",1.3,0.35
"C29H16O3N2",0.55,0.1
"C20H27O6N1S1P1",1.35,0.3
"C20H24O11",1.2,0.55
"C20H24O11",1.2,0.55
"C17H31O6N1S2P1",1.82,0.35
"C22H32O1S4",1.45,0.05
"C22H32O3S3",1.45,0.14
"C21H30O6P2",1.43,0.29
"C30H20O2N2",0.67,0.07
"C25H28O5S1",1.12,0.2
"C21H28O10",1.33,0.48
"C22H32O7S1",1.45,0.32
"C18H32O12",1.78,0.67
"C26H32O4S1",1.23,0.15
"C22H32O9",1.45,0.41
"C18H35O9N1P1",1.94,0.5
"C19H39O4N1S2P1",2.05,0.21
"C21H35O5N3P1",1.67,0.24
"C24H40O3S2",1.67,0.12
"C25H44O2S2",1.76,0.08
"C30H36O1N2",1.2,0.03
"C13H15O4N1S6",1.15,0.31
"C12H10O12S2P1",0.83,1
"C14H18O12S1P1",1.29,0.86
"C28H26O3P1",0.93,0.11
"C21H31O5N1S2",1.48,0.24
"C22H35O4N1S2",1.59,0.18
"C17H35O8N3S1",2.06,0.47
"C11H6O11S4",0.55,1
"C10H18O5S7",1.8,0.5
"C13H14O7S5",1.08,0.54
"C12H12O10S2P2",1,0.83
"C13H5O11N3S1P1",0.38,0.85
"C28H10O4S1",0.36,0.14
"C17H14O14",0.82,0.82
"C14H21O9N1S2P1",1.5,0.64
"C18H20O7S1P2",1.11,0.39
"C23H22O1S4",0.96,0.04
"C14H21O13N1P1",1.5,0.93
"C15H25O8N1S2P1",1.67,0.53
"C19H24O6S1P2",1.26,0.32
"C23H22O5S2",0.96,0.22
"C23H22O5S2",0.96,0.22
"C26H18O7",0.69,0.27
"C19H25O7N1S1P1",1.32,0.37
"C19H22O12",1.16,0.63
"C16H29O7N1S2P1",1.81,0.44
"C21H30O2S4",1.43,0.1
"C20H28O7P2",1.4,0.35
"C29H18O3N2",0.62,0.1
"C24H26O6S1",1.08,0.25
"C20H26O11",1.3,0.55
"C21H30O6S2",1.43,0.29
"C22H34O1S4",1.55,0.05
"C24H26O8",1.08,0.33
"C21H30O8S1",1.43,0.38
"C21H32O6P2",1.52,0.29
"C20H30O7N2S1",1.5,0.35
"C28H26O5",0.93,0.18
"C25H30O5S1",1.2,0.2
"C21H30O10",1.43,0.48
"C21H30O10",1.43,0.48
"C18H37O5N1S2P1",2.06,0.28
"C22H34O7S1",1.55,0.32
"C22H34O9",1.55,0.41
"C19H41O4N1S2P1",2.16,0.21
"C29H34O2N2",1.17,0.07
"C29H34O2N2",1.17,0.07
"C24H42O7",1.75,0.29
"C25H46O2S2",1.84,0.08
"C10H5O11N1S4",0.5,1.1
"C13H17O2N1S7",1.31,0.15
"C21H5O1N3S4",0.24,0.05
"C9H17O7N1S6",1.89,0.78
"C22H5O4N1S3",0.23,0.18
"C15H8O12S1P1",0.53,0.8
"C21H5O3N3S3",0.24,0.14
"C21H5O3N3S3",0.24,0.14
"C19H25O9N1S1",1.32,0.47
"C20H31O6N1P2",1.55,0.3
"C22H37O4N1S2",1.68,0.18
"C23H41O7N1",1.78,0.3
"C24H45O2N1S2",1.88,0.08
"C11H8O5S7",0.73,0.45
"C13H4O10N2S3",0.31,0.77
"C13H4O10N2S3",0.31,0.77
"C13H6O8N2S2P2",0.46,0.62
"C11H8O13S3",0.73,1.18
"C11H10O11S2P2",0.91,1
"C22H8O5N2S2",0.36,0.23
"C31H8O2S1",0.26,0.06
"C17H16O14",0.94,0.82
"C14H23O9N1S2P1",1.64,0.64
"C18H22O7S1P2",1.22,0.39
"C22H20O6S2",0.91,0.27
"C23H24O1S4",1.04,0.04
"C31H12O2N2",0.39,0.06
"C18H20O13",1.11,0.72
"C15H27O8N1S2P1",1.8,0.53
"C28H16O2N2S1",0.57,0.07
"C15H26O11P2",1.73,0.73
"C20H19O7N3P1",0.95,0.35
"C19H27O5N1S2P1",1.42,0.26
"C23H24O7S1",1.04,0.3
"C19H24O12",1.26,0.63
"C21H32O2S4",1.52,0.1
"C24H28O4S2",1.17,0.17
"C29H20O3N2",0.69,0.1
"C24H28O6S1",1.17,0.25
"C20H31O6N1S1P1",1.55,0.3
"C20H28O11",1.4,0.55
"C20H28O11",1.4,0.55
"C22H36O1S4",1.64,0.05
"C21H34O6P2",1.62,0.29
"C30H24O2N2",0.8,0.07
"C25H32O5S1",1.28,0.2
"C21H32O10",1.52,0.48
"C18H39O5N1S2P1",2.17,0.28
"C26H36O4S1",1.38,0.15
"C22H36O9",1.64,0.41
"C24H44O3S2",1.83,0.12
"C8H3O9N3S5",0.38,1.12
"C13H3O13N1S2",0.23,1
